Year,Position,Full
1999,Full,"118,499"
2000,Full,"120,336"
2001,Full,"122,185"
2002,Full,"124,735"
2003,Full,"127,046"
2004,Full,"135,909"
2005,Full,"136,786"
2006,Full,"137,335"
2007,Full,"139,887"
2008,Full,"134,947"
2009,Full,"135,710"
2010,Full,"132,801"
2011,Full,"133,124"
2012,Full,"135,365"
2013,Full,"138,431"
2014,Full,"140,476"
2015,Full,"140,171"
2016,Full,"139,827"
2017,Full,"137,674"
2018,Full,"137,488"
2019,Full,"137,673"
2020,Full,"134,729"
1999,Assoc,"84,106"
2000,Assoc,"86,407"
2001,Assoc,"87,549"
2002,Assoc,"91,073"
2003,Assoc,"94,992"
2004,Assoc,"105,093"
2005,Assoc,"102,906"
2006,Assoc,"102,225"
2007,Assoc,"106,370"
2008,Assoc,"102,144"
2009,Assoc,"98,884"
2010,Assoc,"97,786"
2011,Assoc,"99,182"
2012,Assoc,"100,768"
2013,Assoc,"102,212"
2014,Assoc,"103,745"
2015,Assoc,"106,356"
2016,Assoc,"108,464"
2017,Assoc,"104,273"
2018,Assoc,"101,035"
2019,Assoc,"102,242"
2020,Assoc,"98,243"
1999,Assist,"68,568"
2000,Assist,"68,848"
2001,Assist,"71,245"
2002,Assist,"71,825"
2003,Assist,"77,614"
2004,Assist,"84,680"
2005,Assist,"80,994"
2006,Assist,"76,298"
2007,Assist,"83,860"
2008,Assist,"75,018"
2009,Assist,"71,980"
2010,Assist,"72,093"
2011,Assist,"77,205"
2012,Assist,"78,223"
2013,Assist,"81,659"
2014,Assist,"80,132"
2015,Assist,"82,091"
2016,Assist,"78,910"
2017,Assist,"79,025"
2018,Assist,"75,826"
2019,Assist,"84,021"
2020,Assist,"79,877"
